name,group,country,language,tvg_id,kind,source,url
"4EB Global Digital","AU - Entertainment","AU","","mjh-radio-ih-11442","hls","","https://i.mjh.nz/.r/radio-ih-11442.m3u8"
"60 Minutes Australia","AU - Entertainment","AU","","mjh-60-minutes-australia-fast","hls","","https://i.mjh.nz/.r/60-minutes-australia-fast.m3u8"
"7AFL","AU - Entertainment","AU","","mjh-7afl-fast","hls","","https://i.mjh.nz/.r/7afl-fast.m3u8"
"7flix","AU - Entertainment","AU","","7flix.au","hls","","https://i.mjh.nz/.r/7flix-syd.m3u8"
"7flix","AU - Entertainment","AU","","mjh-7flix-bri","hls","","https://i.mjh.nz/.r/7flix-bri.m3u8"
"7flix Regional","AU - Entertainment","AU","","mjh-7flix-regional","hls","","https://i.mjh.nz/.r/7flix-regional.m3u8"
"7mate","AU - Entertainment","AU","","7mate.au","hls","","https://i.mjh.nz/.r/7mate-syd.m3u8"
"7mate","AU - Entertainment","AU","","mjh-7mate-bri","hls","","https://i.mjh.nz/.r/7mate-bri.m3u8"
"7mate Regional","AU - Entertainment","AU","","mjh-7mate-regional","hls","","https://i.mjh.nz/.r/7mate-regional.m3u8"
"7NEWS Spotlight","AU - Entertainment","AU","","mjh-cas32-fast","hls","","https://i.mjh.nz/.r/cas32-fast.m3u8"
"7two","AU - Entertainment","AU","","7two.au","hls","","https://i.mjh.nz/.r/7two-syd.m3u8"
"7two","AU - Entertainment","AU","","mjh-7two-bri","hls","","https://i.mjh.nz/.r/7two-bri.m3u8"
"7two Regional","AU - Entertainment","AU","","mjh-7two-regional","hls","","https://i.mjh.nz/.r/7two-regional.m3u8"
"9Crime","AU - Entertainment","AU","","mjh-9crime-fast","hls","","https://i.mjh.nz/.r/9crime-fast.m3u8"
"9Gem","AU - Entertainment","AU","","mjh-gem-qld","hls","","https://i.mjh.nz/.r/gem-qld.m3u8"
"9Go!","AU - Entertainment","AU","","mjh-go-qld","hls","","https://i.mjh.nz/.r/go-qld.m3u8"
"9Life","AU - Entertainment","AU","","mjh-life-qld","hls","","https://i.mjh.nz/.r/life-qld.m3u8"
"9Mystery&Paranormal","AU - Entertainment","AU","","mjh-9mysteryparanormal-fast","hls","","https://i.mjh.nz/.r/9mysteryparanormal-fast.m3u8"
"9Rush","AU - Entertainment","AU","","mjh-rush-qld","hls","","https://i.mjh.nz/.r/rush-qld.m3u8"
"A Country Practice","AU - Entertainment","AU","","mjh-acountrypractice-fast","hls","","https://i.mjh.nz/.r/acountrypractice-fast.m3u8"
"ABC TV ACT (720p)","AU - Entertainment","AU","","ABCTV.au@ACT","hls","","https://c.mjh.nz/abc-act.m3u8"
"ABC TV NSW (720p)","AU - Entertainment","AU","","ABCTV.au@NSW","hls","","https://c.mjh.nz/abc-nsw.m3u8"
"ABC TV NT (720p)","AU - Entertainment","AU","","ABCTV.au@NT","hls","","https://c.mjh.nz/abc-nt.m3u8"
"ABC TV Plus (720p)","AU - Entertainment","AU","","ABCTVPlus.au@Sydney","hls","","https://c.mjh.nz/abc-tv-plus.m3u8"
