# stream_id	name	genre	country	tvg_id	logo
106	CBC	Entertainment	EG	CBC.eg	logo
118	Cima	Entertainment	EG	Cima.eg	logo
64	Dubai TV	Entertainment	AE	DubaiTV.ae	logo
63	Dubai One	Entertainment	AE	DubaiOne.ae	logo
483	Fatafeat	Entertainment	AE	Fatafeat.ae	logo
120	Future	Entertainment	LB	-	-
111	Al Iraqia	Entertainment	IQ	AlIraqia.iq	logo
83	Jordan TV	Entertainment	JO	JordanTV.jo	logo
422	Kanal 7	Entertainment	TR	Kanal7.tr	logo
61	LBC International	Entertainment	LB	LBCInternational.lb	logo
48	MBC 1	Entertainment	AE	MBC1.ae	logo
47	MBC 2	Entertainment	AE	MBC2.ae	logo
46	MBC 3	Entertainment	AE	MBC3.ae	logo
45	MBC 4	Entertainment	AE	MBC4.ae	logo
241	MBC Action	Entertainment	AE	MBCAction.ae	logo
44	MBC Drama	Entertainment	AE	MBCDrama.ae	logo
43	MBC Max	Entertainment	SA	MBCMax.sa	logo
140	NBN	Entertainment	LB	NBN.lb	logo
94	Nile Comedy	Entertainment	EG	NileComedy.eg	logo
410	Nile Drama	Entertainment	EG	NileDrama.eg	logo
488	Oman TV	Entertainment	OM	OmanTV.om	logo
42	Ood	Entertainment		-	-
151	OSN Starworld	Entertainment	AE	-	-
384	OSN Al Youm	Entertainment	AE	-	-
21	MBC Drama	Entertainment	AE	MBCDrama.ae	logo
383	OSN Yahala	Entertainment	AE	OSNYahala.ae	logo
24	OSN Yahala Shabab	Entertainment	AE	-	-
92	OTV	Entertainment	LB	OTV.lb	logo
141	Palestine TV	Entertainment	PS	PalestineTV.ps	logo
459	Palestine Today	Entertainment	PS	PalestineToday.ps	logo
439	Qatar Television	Entertainment	QA	QatarTelevision.qa	logo
58	Rotana	Entertainment	SA	-	-
56	Rotana Classic	Entertainment	SA	RotanaClassic.sa	logo
81	Roya TV	Entertainment	JO	RoyaTV.jo	logo
445	Sama Jordan	Entertainment	JO	-	-
126	Sharjah TV	Entertainment	AE	SharjahTV.ae	logo
441	Sky Atlantic	Entertainment	GB	SkyAtlantic.uk	logo
99	Syria TV	Entertainment	SY	SyriaTV.sy	logo
101	Syria Aloula	Entertainment	SY	-	-
65	Syrian Educational TV	Entertainment	SY	SyrianEducationalTV.sy	logo
51	Syria Drama	Entertainment	SY	SyriaDrama.sy	logo
112	TNN Tunisia	Entertainment	TN	-	-
390	TRT Arabi	Entertainment	TR	TRTArabi.tr	logo
50	Zee Alwan	Entertainment	AE	ZeeAlwan.ae	logo
